IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.19.141.78,4,4,0.00,153.70,0.00,LAX,443
104.19.254.114,4,4,0.00,153.70,0.00,LAX,443
104.16.181.152,4,4,0.00,153.71,0.00,SJC,443
104.18.76.101,4,4,0.00,153.72,0.00,SJC,443
104.27.16.196,4,4,0.00,153.72,0.00,FRA,443
104.19.236.160,4,4,0.00,153.73,0.00,SJC,443
104.19.83.133,4,4,0.00,153.75,0.00,SJC,443
104.16.133.173,4,4,0.00,153.76,0.00,SJC,443
104.18.85.25,4,4,0.00,153.77,0.00,SJC,443
104.17.17.176,4,4,0.00,153.78,0.00,SJC,443
104.18.79.187,4,4,0.00,153.79,0.00,SJC,443
104.16.47.26,4,4,0.00,153.80,0.00,SJC,443
104.19.230.242,4,4,0.00,153.81,0.00,SJC,443
104.18.186.64,4,4,0.00,153.81,0.00,SJC,443
104.16.17.119,4,4,0.00,153.84,0.00,SJC,443
104.17.225.62,4,4,0.00,153.85,0.00,SJC,443
104.17.226.15,4,4,0.00,153.85,0.00,SJC,443
104.18.147.175,4,4,0.00,153.88,0.00,SJC,443
104.19.33.245,4,4,0.00,153.88,0.00,SJC,443
104.16.73.1,4,4,0.00,153.94,0.00,SJC,443
104.19.245.231,4,4,0.00,153.96,0.00,LAX,443
104.19.6.176,4,4,0.00,153.97,0.00,SJC,443
104.17.210.0,4,4,0.00,154.00,0.00,SJC,443
172.65.208.202,4,4,0.00,154.02,0.00,SJC,443
104.19.65.233,4,4,0.00,154.03,0.00,SJC,443
104.18.69.151,4,4,0.00,154.05,0.00,SJC,443
104.19.153.254,4,4,0.00,154.07,0.00,SJC,443
104.16.213.199,4,4,0.00,154.08,0.00,SJC,443
172.64.66.119,4,4,0.00,154.09,0.00,SJC,443
104.16.165.55,4,4,0.00,154.12,0.00,SJC,443
104.18.122.245,4,4,0.00,154.13,0.00,LAX,443
104.19.181.208,4,4,0.00,154.14,0.00,SJC,443
104.24.35.72,4,4,0.00,154.17,0.00,FRA,443
104.16.27.212,4,4,0.00,154.18,0.00,SJC,443
104.18.80.124,4,4,0.00,154.18,0.00,SJC,443
104.19.41.240,4,4,0.00,154.20,0.00,SJC,443
104.19.248.29,4,4,0.00,154.21,0.00,LAX,443
104.18.124.44,4,4,0.00,154.21,0.00,LAX,443
104.17.191.225,4,4,0.00,154.21,0.00,SJC,443
104.16.255.95,4,4,0.00,154.21,0.00,SJC,443
104.27.48.87,4,4,0.00,154.23,0.00,FRA,443
104.16.205.156,4,4,0.00,154.23,0.00,SJC,443
104.16.23.232,4,4,0.00,154.23,0.00,SJC,443
104.19.251.25,4,4,0.00,154.23,0.00,LAX,443
104.19.79.200,4,4,0.00,154.24,0.00,SJC,443
104.18.109.138,4,4,0.00,154.24,0.00,SJC,443
104.19.244.201,4,4,0.00,154.25,0.00,LAX,443
104.19.238.95,4,4,0.00,154.28,0.00,SJC,443
104.19.91.87,4,4,0.00,154.28,0.00,SJC,443
104.16.180.85,4,4,0.00,154.30,0.00,SJC,443
104.16.67.6,4,4,0.00,154.31,0.00,SJC,443
104.16.158.181,4,4,0.00,154.32,0.00,SJC,443
104.17.9.165,4,4,0.00,154.33,0.00,SJC,443
104.17.37.214,4,4,0.00,154.35,0.00,SJC,443
198.41.214.140,4,4,0.00,154.36,0.00,SJC,443
104.17.135.176,4,4,0.00,154.37,0.00,SJC,443
104.16.6.55,4,4,0.00,154.38,0.00,SJC,443
172.64.176.234,4,4,0.00,154.38,0.00,SJC,443
104.19.128.140,4,4,0.00,154.39,0.00,LAX,443
104.17.6.164,4,4,0.00,154.40,0.00,SJC,443
104.16.37.253,4,4,0.00,154.44,0.00,SJC,443
172.67.135.241,4,4,0.00,154.45,0.00,AMS,443
190.93.246.6,4,4,0.00,154.47,0.00,SJC,443
104.19.207.85,4,4,0.00,154.49,0.00,SJC,443
104.18.11.182,4,4,0.00,154.51,0.00,SJC,443
104.17.141.65,4,4,0.00,154.52,0.00,SJC,443
104.17.139.77,4,4,0.00,154.52,0.00,SJC,443
104.16.192.54,4,4,0.00,154.52,0.00,SJC,443
104.16.251.234,4,4,0.00,154.52,0.00,SJC,443
104.16.178.146,4,4,0.00,154.52,0.00,SJC,443
104.18.220.154,4,4,0.00,154.53,0.00,SJC,443
104.17.15.52,4,4,0.00,154.54,0.00,SJC,443
104.16.39.56,4,4,0.00,154.55,0.00,SJC,443
104.17.75.41,4,4,0.00,154.57,0.00,SJC,443
104.25.211.71,4,4,0.00,154.61,0.00,FRA,443
104.19.75.122,4,4,0.00,154.62,0.00,SJC,443
104.16.3.73,4,4,0.00,154.62,0.00,SJC,443
104.18.7.62,4,4,0.00,154.62,0.00,SJC,443
104.18.16.219,4,4,0.00,154.64,0.00,LAX,443
104.16.95.195,4,4,0.00,154.65,0.00,SJC,443
104.24.148.126,4,4,0.00,154.66,0.00,FRA,443
172.66.42.219,4,4,0.00,154.69,0.00,SJC,443
172.67.236.112,4,4,0.00,154.71,0.00,AMS,443
104.17.241.237,4,4,0.00,154.73,0.00,SJC,443
104.18.239.57,4,4,0.00,154.73,0.00,SJC,443
104.18.155.156,4,4,0.00,154.75,0.00,SJC,443
104.24.94.3,4,4,0.00,154.76,0.00,FRA,443
104.21.234.195,4,4,0.00,154.76,0.00,LAX,443
104.19.98.246,4,4,0.00,154.79,0.00,SJC,443
104.19.44.138,4,4,0.00,154.80,0.00,SJC,443
104.16.161.192,4,4,0.00,154.82,0.00,SJC,443
198.41.206.3,4,4,0.00,154.83,0.00,SJC,443
104.17.228.139,4,4,0.00,154.84,0.00,SJC,443
104.21.192.223,4,4,0.00,154.85,0.00,AMS,443
104.19.109.50,4,4,0.00,154.85,0.00,SJC,443
104.18.203.135,4,4,0.00,154.87,0.00,SJC,443
104.24.199.137,4,4,0.00,154.88,0.00,FRA,443
104.18.131.186,4,4,0.00,154.91,0.00,SJC,443
104.17.168.153,4,4,0.00,154.94,0.00,SJC,443
104.19.182.113,4,4,0.00,154.94,0.00,SJC,443
104.21.215.125,4,4,0.00,154.96,0.00,AMS,443
104.19.108.160,4,4,0.00,154.97,0.00,SJC,443
104.18.106.157,4,4,0.00,154.98,0.00,SJC,443
104.19.116.227,4,4,0.00,154.99,0.00,SJC,443
104.17.185.117,4,4,0.00,155.00,0.00,SJC,443
104.19.73.116,4,4,0.00,155.03,0.00,SJC,443
141.101.123.224,4,4,0.00,155.05,0.00,SJC,443
104.17.192.219,4,4,0.00,155.05,0.00,SJC,443
104.17.86.72,4,4,0.00,155.05,0.00,SJC,443
172.64.81.148,4,4,0.00,155.06,0.00,SJC,443
104.19.67.89,4,4,0.00,155.07,0.00,SJC,443
104.17.206.50,4,4,0.00,155.08,0.00,SJC,443
104.20.19.116,4,4,0.00,155.08,0.00,FRA,443
104.16.191.247,4,4,0.00,155.09,0.00,SJC,443
104.17.149.79,4,4,0.00,155.10,0.00,SJC,443
104.19.86.253,4,4,0.00,155.17,0.00,SJC,443
104.16.22.200,4,4,0.00,155.18,0.00,SJC,443
104.19.165.63,4,4,0.00,155.18,0.00,SJC,443
104.18.126.18,4,4,0.00,155.18,0.00,LAX,443
104.19.84.179,4,4,0.00,155.21,0.00,SJC,443
104.19.178.188,4,4,0.00,155.21,0.00,SJC,443
104.18.65.243,4,4,0.00,155.22,0.00,SJC,443
104.16.167.183,4,4,0.00,155.23,0.00,SJC,443
104.17.252.243,4,4,0.00,155.25,0.00,SJC,443
104.17.133.203,4,4,0.00,155.28,0.00,SJC,443
172.65.60.179,4,4,0.00,155.28,0.00,AMS,443
104.17.1.78,4,4,0.00,155.28,0.00,SJC,443
172.65.221.56,4,4,0.00,155.29,0.00,SJC,443
104.18.159.248,4,4,0.00,155.29,0.00,SJC,443
104.21.226.246,4,4,0.00,155.29,0.00,LAX,443
172.66.47.151,4,4,0.00,155.31,0.00,SJC,443
104.19.179.10,4,4,0.00,155.33,0.00,SJC,443
104.16.123.58,4,4,0.00,155.38,0.00,LAX,443
104.16.159.125,4,4,0.00,155.38,0.00,SJC,443
172.64.88.155,4,4,0.00,155.38,0.00,SJC,443
104.24.185.192,4,4,0.00,155.39,0.00,FRA,443
104.17.92.107,4,4,0.00,155.40,0.00,SJC,443
162.159.237.174,4,4,0.00,155.40,0.00,SJC,443
104.17.237.156,4,4,0.00,155.42,0.00,SJC,443
104.16.234.29,4,4,0.00,155.45,0.00,SJC,443
104.18.118.141,4,4,0.00,155.45,0.00,LAX,443
104.18.144.139,4,4,0.00,155.45,0.00,SJC,443
104.24.177.155,4,4,0.00,155.47,0.00,FRA,443
104.18.50.109,4,4,0.00,155.47,0.00,SJC,443
104.16.238.134,4,4,0.00,155.47,0.00,SJC,443
104.17.41.28,4,4,0.00,155.48,0.00,SJC,443
104.18.246.113,4,4,0.00,155.48,0.00,SJC,443
104.18.116.119,4,4,0.00,155.49,0.00,LAX,443
104.16.109.174,4,4,0.00,155.50,0.00,SJC,443
104.27.67.60,4,4,0.00,155.53,0.00,FRA,443
104.19.124.220,4,4,0.00,155.54,0.00,SJC,443
104.17.247.247,4,4,0.00,155.54,0.00,SJC,443
104.19.192.232,4,4,0.00,155.56,0.00,SJC,443
104.16.156.137,4,4,0.00,155.57,0.00,SJC,443
162.159.244.221,4,4,0.00,155.58,0.00,LAX,443
104.19.133.225,4,4,0.00,155.59,0.00,LAX,443
104.17.165.72,4,4,0.00,155.59,0.00,SJC,443
104.16.247.230,4,4,0.00,155.60,0.00,SJC,443
104.16.63.45,4,4,0.00,155.62,0.00,SJC,443
104.17.131.57,4,4,0.00,155.64,0.00,SJC,443
104.17.36.111,4,4,0.00,155.64,0.00,SJC,443
104.16.2.132,4,4,0.00,155.64,0.00,SJC,443
104.24.12.29,4,4,0.00,155.68,0.00,FRA,443
104.16.83.126,4,4,0.00,155.68,0.00,SJC,443
104.17.179.111,4,4,0.00,155.70,0.00,SJC,443
104.19.167.119,4,4,0.00,155.71,0.00,SJC,443
104.16.146.201,4,4,0.00,155.71,0.00,SJC,443
162.159.254.96,4,4,0.00,155.72,0.00,LAX,443
104.18.237.140,4,4,0.00,155.73,0.00,SJC,443
104.19.157.84,4,4,0.00,155.73,0.00,SJC,443
104.19.155.182,4,4,0.00,155.73,0.00,SJC,443
104.18.17.253,4,4,0.00,155.73,0.00,LAX,443
104.16.20.189,4,4,0.00,155.74,0.00,SJC,443
104.18.48.80,4,4,0.00,155.77,0.00,SJC,443
104.17.87.111,4,4,0.00,155.80,0.00,SJC,443
104.16.29.230,4,4,0.00,155.80,0.00,SJC,443
104.17.29.105,4,4,0.00,155.83,0.00,SJC,443
104.18.164.135,4,4,0.00,155.84,0.00,SJC,443
198.41.218.227,4,4,0.00,155.85,0.00,SJC,443
104.17.43.192,4,4,0.00,155.86,0.00,SJC,443
104.18.211.81,4,4,0.00,155.86,0.00,SJC,443
104.18.25.102,4,4,0.00,155.88,0.00,LAX,443
104.19.123.60,4,4,0.00,155.88,0.00,SJC,443
104.17.223.218,4,4,0.00,155.90,0.00,SJC,443
172.66.43.126,4,4,0.00,155.92,0.00,SJC,443
104.18.215.160,4,4,0.00,155.93,0.00,SJC,443
104.16.214.135,4,4,0.00,155.93,0.00,SJC,443
104.16.198.59,4,4,0.00,155.93,0.00,SJC,443
104.16.228.107,4,4,0.00,155.94,0.00,SJC,443
104.19.66.51,4,4,0.00,155.95,0.00,SJC,443
104.17.109.96,4,4,0.00,155.96,0.00,SJC,443
104.19.235.30,4,4,0.00,155.97,0.00,SJC,443
104.17.64.115,4,4,0.00,155.97,0.00,SJC,443
104.19.198.108,4,4,0.00,155.98,0.00,SJC,443
104.18.135.238,4,4,0.00,156.01,0.00,SJC,443
104.16.14.30,4,4,0.00,156.02,0.00,SJC,443
104.16.210.96,4,4,0.00,156.02,0.00,SJC,443
104.17.200.130,4,4,0.00,156.04,0.00,SJC,443
198.41.217.150,4,4,0.00,156.05,0.00,SJC,443
104.16.91.181,4,4,0.00,156.06,0.00,SJC,443
172.67.187.31,4,4,0.00,156.08,0.00,AMS,443
104.19.217.174,4,4,0.00,156.09,0.00,SJC,443
104.19.142.64,4,4,0.00,156.11,0.00,LAX,443
104.18.202.199,4,4,0.00,156.11,0.00,SJC,443
104.21.228.203,4,4,0.00,156.12,0.00,LAX,443
104.17.177.23,4,4,0.00,156.13,0.00,SJC,443
104.19.204.227,4,4,0.00,156.14,0.00,SJC,443
104.16.41.73,4,4,0.00,156.15,0.00,SJC,443
104.16.152.84,4,4,0.00,156.16,0.00,SJC,443
104.19.114.12,4,4,0.00,156.16,0.00,SJC,443
104.16.68.210,4,4,0.00,156.17,0.00,SJC,443
104.24.84.136,4,4,0.00,156.19,0.00,FRA,443
104.17.198.136,4,4,0.00,156.24,0.00,SJC,443
104.18.179.173,4,4,0.00,156.24,0.00,SJC,443
104.19.28.79,4,4,0.00,156.25,0.00,SJC,443
104.16.197.163,4,4,0.00,156.25,0.00,SJC,443
104.19.190.127,4,4,0.00,156.29,0.00,SJC,443
104.18.146.67,4,4,0.00,156.30,0.00,SJC,443
104.17.213.103,4,4,0.00,156.30,0.00,SJC,443
104.17.111.127,4,4,0.00,156.31,0.00,SJC,443
104.16.153.236,4,4,0.00,156.32,0.00,SJC,443
104.19.152.105,4,4,0.00,156.34,0.00,SJC,443
104.18.60.77,4,4,0.00,156.34,0.00,SJC,443
141.101.120.133,4,4,0.00,156.35,0.00,SJC,443
104.19.229.39,4,4,0.00,156.35,0.00,SJC,443
172.64.90.10,4,4,0.00,156.36,0.00,SJC,443
104.18.99.188,4,4,0.00,156.36,0.00,SJC,443
104.18.176.18,4,4,0.00,156.37,0.00,SJC,443
104.18.192.45,4,4,0.00,156.37,0.00,SJC,443
104.17.214.251,4,4,0.00,156.37,0.00,SJC,443
172.64.79.92,4,4,0.00,156.39,0.00,SJC,443
104.19.10.177,4,4,0.00,156.39,0.00,SJC,443
104.18.207.75,4,4,0.00,156.39,0.00,SJC,443
104.16.236.218,4,4,0.00,156.40,0.00,SJC,443
104.16.200.42,4,4,0.00,156.41,0.00,SJC,443
104.17.32.152,4,4,0.00,156.41,0.00,SJC,443
104.17.2.175,4,4,0.00,156.41,0.00,SJC,443
104.17.232.22,4,4,0.00,156.42,0.00,SJC,443
104.17.18.100,4,4,0.00,156.43,0.00,SJC,443
104.19.96.10,4,4,0.00,156.44,0.00,SJC,443
104.19.206.244,4,4,0.00,156.46,0.00,SJC,443
104.18.83.251,4,4,0.00,156.47,0.00,SJC,443
104.16.139.131,4,4,0.00,156.48,0.00,SJC,443
104.17.12.188,4,4,0.00,156.49,0.00,SJC,443
104.19.15.48,4,4,0.00,156.50,0.00,SJC,443
104.16.224.131,4,4,0.00,156.50,0.00,SJC,443
104.16.18.52,4,4,0.00,156.52,0.00,SJC,443
104.17.189.245,4,4,0.00,156.53,0.00,SJC,443
104.18.141.0,4,4,0.00,156.54,0.00,SJC,443
162.159.195.56,4,4,0.00,156.55,0.00,LAX,443
104.17.81.104,4,4,0.00,156.57,0.00,SJC,443
104.19.20.26,4,4,0.00,156.57,0.00,SJC,443
104.21.84.44,4,4,0.00,156.58,0.00,AMS,443
104.17.76.197,4,4,0.00,156.63,0.00,SJC,443
104.18.59.133,4,4,0.00,156.66,0.00,SJC,443
104.17.16.95,4,4,0.00,156.67,0.00,SJC,443
104.17.84.90,4,4,0.00,156.69,0.00,SJC,443
104.16.116.212,4,4,0.00,156.74,0.00,LAX,443
104.16.170.234,4,4,0.00,156.74,0.00,SJC,443
104.19.64.234,4,4,0.00,156.75,0.00,SJC,443
104.17.140.128,4,4,0.00,156.75,0.00,SJC,443
104.18.148.248,4,4,0.00,156.76,0.00,SJC,443
172.67.252.225,4,4,0.00,156.78,0.00,AMS,443
104.16.80.160,4,4,0.00,156.80,0.00,SJC,443
104.18.234.245,4,4,0.00,156.80,0.00,SJC,443
104.27.81.146,4,4,0.00,156.82,0.00,FRA,443
104.17.89.92,4,4,0.00,156.83,0.00,SJC,443
104.16.48.19,4,4,0.00,156.86,0.00,SJC,443
172.64.93.178,4,4,0.00,156.89,0.00,SJC,443
104.18.2.76,4,4,0.00,156.95,0.00,SJC,443
104.17.250.188,4,4,0.00,156.96,0.00,SJC,443
104.19.101.230,4,4,0.00,156.97,0.00,SJC,443
104.18.24.84,4,4,0.00,156.97,0.00,LAX,443
104.19.38.98,4,4,0.00,156.98,0.00,SJC,443
198.41.215.216,4,4,0.00,157.00,0.00,SJC,443
104.17.221.77,4,4,0.00,157.00,0.00,SJC,443
104.18.55.21,4,4,0.00,157.02,0.00,SJC,443
104.18.188.222,4,4,0.00,157.03,0.00,SJC,443
104.18.107.242,4,4,0.00,157.07,0.00,SJC,443
104.19.187.118,4,4,0.00,157.10,0.00,SJC,443
104.24.239.194,4,4,0.00,157.11,0.00,FRA,443
104.16.77.45,4,4,0.00,157.12,0.00,SJC,443
104.18.243.211,4,4,0.00,157.12,0.00,SJC,443
172.65.63.34,4,4,0.00,157.12,0.00,AMS,443
104.16.122.113,4,4,0.00,157.13,0.00,LAX,443
104.17.11.106,4,4,0.00,157.13,0.00,SJC,443
104.17.122.17,4,4,0.00,157.14,0.00,SJC,443
172.67.193.210,4,4,0.00,157.16,0.00,AMS,443
104.21.117.177,4,4,0.00,157.20,0.00,AMS,443
104.16.204.140,4,4,0.00,157.22,0.00,SJC,443
104.16.31.176,4,4,0.00,157.24,0.00,SJC,443
104.25.33.35,4,4,0.00,157.27,0.00,FRA,443
104.24.151.196,4,4,0.00,157.27,0.00,FRA,443
104.19.53.95,4,4,0.00,157.27,0.00,SJC,443
104.18.194.229,4,4,0.00,157.28,0.00,SJC,443
162.159.252.113,4,4,0.00,157.29,0.00,LAX,443
104.17.208.111,4,4,0.00,157.31,0.00,SJC,443
104.16.100.167,4,4,0.00,157.35,0.00,SJC,443
104.17.51.188,4,4,0.00,157.36,0.00,SJC,443
104.18.244.178,4,4,0.00,157.38,0.00,SJC,443
104.18.138.244,4,4,0.00,157.39,0.00,SJC,443
104.19.62.35,4,4,0.00,157.39,0.00,SJC,443
104.17.159.228,4,4,0.00,157.43,0.00,SJC,443
104.18.52.123,4,4,0.00,157.44,0.00,SJC,443
104.17.196.153,4,4,0.00,157.45,0.00,SJC,443
104.19.176.224,4,4,0.00,157.46,0.00,SJC,443
172.64.85.210,4,4,0.00,157.48,0.00,SJC,443
104.17.25.60,4,4,0.00,157.50,0.00,SJC,443
172.67.253.126,4,4,0.00,157.50,0.00,AMS,443
104.19.164.52,4,4,0.00,157.51,0.00,SJC,443
104.19.111.250,4,4,0.00,157.52,0.00,SJC,443
104.17.99.233,4,4,0.00,157.53,0.00,SJC,443
104.16.144.94,4,4,0.00,157.53,0.00,SJC,443
198.41.201.115,4,4,0.00,157.53,0.00,SJC,443
104.18.102.140,4,4,0.00,157.54,0.00,SJC,443
104.18.101.145,4,4,0.00,157.59,0.00,SJC,443
172.65.220.203,4,4,0.00,157.63,0.00,SJC,443
104.18.89.117,4,4,0.00,157.66,0.00,SJC,443
104.25.231.7,4,4,0.00,157.67,0.00,FRA,443
104.16.103.148,4,4,0.00,157.68,0.00,SJC,443
104.16.169.145,4,4,0.00,157.70,0.00,SJC,443
172.67.143.228,4,4,0.00,157.74,0.00,AMS,443
104.18.204.149,4,4,0.00,157.74,0.00,SJC,443
104.17.117.4,4,4,0.00,157.74,0.00,SJC,443
104.17.175.20,4,4,0.00,157.76,0.00,SJC,443
104.16.70.44,4,4,0.00,157.76,0.00,SJC,443
104.18.23.118,4,4,0.00,157.78,0.00,LAX,443
104.16.142.96,4,4,0.00,157.78,0.00,SJC,443
104.24.231.183,4,4,0.00,157.79,0.00,FRA,443
104.19.105.15,4,4,0.00,157.81,0.00,SJC,443
104.18.208.100,4,4,0.00,157.83,0.00,SJC,443
104.16.145.184,4,4,0.00,157.85,0.00,SJC,443
104.16.187.197,4,4,0.00,157.86,0.00,SJC,443
104.27.25.226,4,4,0.00,157.86,0.00,FRA,443
104.17.212.134,4,4,0.00,157.89,0.00,SJC,443
104.19.61.65,4,4,0.00,157.90,0.00,SJC,443
104.18.64.92,4,4,0.00,157.91,0.00,SJC,443
172.64.72.89,4,4,0.00,157.92,0.00,SEA,443
104.19.210.121,4,4,0.00,157.94,0.00,SJC,443
104.19.159.91,4,4,0.00,157.98,0.00,SJC,443
104.18.158.110,4,4,0.00,157.98,0.00,SJC,443
172.65.48.38,4,4,0.00,158.00,0.00,AMS,443
104.16.184.197,4,4,0.00,158.09,0.00,SJC,443
104.19.49.110,4,4,0.00,158.10,0.00,SJC,443
104.17.104.207,4,4,0.00,158.15,0.00,SJC,443
104.17.27.13,4,4,0.00,158.15,0.00,SJC,443
104.17.62.7,4,4,0.00,158.17,0.00,SJC,443
104.21.110.203,4,4,0.00,158.18,0.00,AMS,443
104.17.243.133,4,4,0.00,158.20,0.00,SJC,443
104.19.32.125,4,4,0.00,158.20,0.00,SJC,443
104.21.112.102,4,4,0.00,158.20,0.00,AMS,443
104.21.114.50,4,4,0.00,158.20,0.00,AMS,443
104.21.83.100,4,4,0.00,158.23,0.00,AMS,443
172.67.77.206,4,4,0.00,158.23,0.00,FRA,443
104.24.191.17,4,4,0.00,158.23,0.00,FRA,443
172.67.250.57,4,4,0.00,158.24,0.00,AMS,443
104.16.218.163,4,4,0.00,158.25,0.00,SJC,443
104.17.231.88,4,4,0.00,158.26,0.00,SJC,443
104.19.134.245,4,4,0.00,158.27,0.00,LAX,443
104.18.200.157,4,4,0.00,158.30,0.00,SJC,443
104.19.16.172,4,4,0.00,158.30,0.00,SJC,443
104.18.248.70,4,4,0.00,158.30,0.00,SJC,443
162.159.243.128,4,4,0.00,158.32,0.00,LAX,443
104.19.161.170,4,4,0.00,158.33,0.00,SJC,443
104.17.170.71,4,4,0.00,158.37,0.00,SJC,443
104.17.59.55,4,4,0.00,158.41,0.00,SJC,443
104.17.205.157,4,4,0.00,158.42,0.00,SJC,443
104.16.147.86,4,4,0.00,158.46,0.00,SJC,443
172.66.44.243,4,4,0.00,158.47,0.00,SJC,443
104.16.61.10,4,4,0.00,158.48,0.00,SJC,443
104.18.229.155,4,4,0.00,158.51,0.00,SJC,443
104.19.195.48,4,4,0.00,158.52,0.00,SJC,443
104.16.28.185,4,4,0.00,158.54,0.00,SJC,443
104.16.250.253,4,4,0.00,158.55,0.00,SJC,443
104.16.182.126,4,4,0.00,158.56,0.00,SJC,443
104.21.229.128,4,4,0.00,158.58,0.00,LAX,443
172.67.204.107,4,4,0.00,158.60,0.00,AMS,443
172.64.94.124,4,4,0.00,158.61,0.00,SJC,443
172.67.215.189,4,4,0.00,158.64,0.00,AMS,443
104.25.27.35,4,4,0.00,158.67,0.00,FRA,443
104.16.101.226,4,4,0.00,158.77,0.00,SJC,443
104.18.78.76,4,4,0.00,158.79,0.00,SJC,443
104.19.50.28,4,4,0.00,158.81,0.00,SJC,443
172.66.40.183,4,4,0.00,158.81,0.00,SJC,443
104.25.14.128,4,4,0.00,158.82,0.00,FRA,443
104.18.191.204,4,4,0.00,158.82,0.00,SJC,443
104.17.211.83,4,4,0.00,158.82,0.00,SJC,443
104.19.122.180,4,4,0.00,158.85,0.00,SJC,443
104.17.96.165,4,4,0.00,158.86,0.00,SJC,443
104.18.97.25,4,4,0.00,158.86,0.00,SJC,443
104.18.173.221,4,4,0.00,158.86,0.00,SJC,443
104.17.229.27,4,4,0.00,158.87,0.00,SJC,443
172.64.39.45,4,4,0.00,158.87,0.00,SEA,443
172.67.128.241,4,4,0.00,158.90,0.00,AMS,443
104.17.106.172,4,4,0.00,158.91,0.00,SJC,443
104.18.66.211,4,4,0.00,158.91,0.00,SJC,443
172.67.182.178,4,4,0.00,158.95,0.00,AMS,443
104.19.212.158,4,4,0.00,158.96,0.00,SJC,443
104.18.81.151,4,4,0.00,158.98,0.00,SJC,443
104.18.105.39,4,4,0.00,159.01,0.00,SJC,443
104.19.46.225,4,4,0.00,159.01,0.00,SJC,443
104.16.46.229,4,4,0.00,159.01,0.00,SJC,443
104.16.115.37,4,4,0.00,159.05,0.00,LAX,443
104.16.149.113,4,4,0.00,159.07,0.00,SJC,443
104.17.194.124,4,4,0.00,159.11,0.00,SJC,443
104.16.78.186,4,4,0.00,159.13,0.00,SJC,443
104.21.3.206,4,4,0.00,159.13,0.00,AMS,443
104.25.48.30,4,4,0.00,159.13,0.00,FRA,443
104.16.64.29,4,4,0.00,159.15,0.00,SJC,443
104.16.186.56,4,4,0.00,159.17,0.00,SJC,443
104.19.24.11,4,4,0.00,159.18,0.00,SJC,443
104.17.80.21,4,4,0.00,159.20,0.00,SJC,443
104.16.35.139,4,4,0.00,159.21,0.00,SJC,443
104.19.240.152,4,4,0.00,159.24,0.00,LAX,443
104.19.144.45,4,4,0.00,159.25,0.00,SJC,443
104.16.240.28,4,4,0.00,159.25,0.00,SJC,443
104.18.149.151,4,4,0.00,159.29,0.00,SJC,443
104.21.15.5,4,4,0.00,159.31,0.00,AMS,443
104.19.107.218,4,4,0.00,159.37,0.00,SJC,443
104.17.197.192,4,4,0.00,159.38,0.00,SJC,443
104.25.130.145,4,4,0.00,159.40,0.00,FRA,443
104.16.55.245,4,4,0.00,159.40,0.00,SJC,443
104.18.228.1,4,4,0.00,159.42,0.00,SJC,443
104.17.40.210,4,4,0.00,159.42,0.00,SJC,443
104.17.57.249,4,4,0.00,159.47,0.00,SJC,443
104.19.150.112,4,4,0.00,159.47,0.00,SJC,443
104.19.158.55,4,4,0.00,159.48,0.00,SJC,443
104.18.197.156,4,4,0.00,159.49,0.00,SJC,443
104.17.20.44,4,4,0.00,159.52,0.00,SJC,443
172.67.162.189,4,4,0.00,159.57,0.00,AMS,443
104.18.162.174,4,4,0.00,159.58,0.00,SJC,443
104.16.126.30,4,4,0.00,159.59,0.00,LAX,443
104.19.118.254,4,4,0.00,159.60,0.00,SJC,443
104.21.126.231,4,4,0.00,159.61,0.00,AMS,443
172.67.133.193,4,4,0.00,159.65,0.00,AMS,443
104.16.111.207,4,4,0.00,159.67,0.00,SJC,443
198.41.193.200,4,4,0.00,159.69,0.00,SJC,443
104.18.241.246,4,4,0.00,159.74,0.00,SJC,443
104.19.188.158,4,4,0.00,159.74,0.00,SJC,443
104.18.87.51,4,4,0.00,159.82,0.00,SJC,443
104.17.107.69,4,4,0.00,159.87,0.00,SJC,443
104.18.142.231,4,4,0.00,159.87,0.00,SJC,443
172.67.230.104,4,4,0.00,159.92,0.00,AMS,443
104.19.132.70,4,4,0.00,159.95,0.00,LAX,443
172.66.156.153,4,4,0.00,159.97,0.00,FRA,443
104.21.95.149,4,4,0.00,159.97,0.00,AMS,443
104.17.209.172,4,4,0.00,159.98,0.00,SJC,443
104.19.40.228,4,4,0.00,160.00,0.00,SJC,443
104.17.113.167,4,4,0.00,160.07,0.00,SJC,443
104.21.86.137,4,4,0.00,160.19,0.00,AMS,443
104.25.99.123,4,4,0.00,160.20,0.00,FRA,443
104.19.173.251,4,4,0.00,160.26,0.00,SJC,443
104.18.214.249,4,4,0.00,160.26,0.00,SJC,443
104.18.169.241,4,4,0.00,160.38,0.00,SJC,443
104.21.64.224,4,4,0.00,160.42,0.00,AMS,443
104.18.232.246,4,4,0.00,160.43,0.00,SJC,443
172.67.189.30,4,4,0.00,160.61,0.00,AMS,443
104.21.222.131,4,4,0.00,160.61,0.00,AMS,443
104.18.75.145,4,4,0.00,160.66,0.00,SJC,443
104.20.20.175,4,4,0.00,160.73,0.00,FRA,443
104.18.67.7,4,4,0.00,160.74,0.00,SJC,443
172.67.89.241,4,4,0.00,160.75,0.00,FRA,443
104.24.78.125,4,4,0.00,160.76,0.00,FRA,443
104.16.106.80,4,4,0.00,160.77,0.00,SJC,443
104.27.88.57,4,4,0.00,160.80,0.00,FRA,443
