IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
172.64.91.93,4,4,0.00,133.81,0.00,SJC,443
172.64.87.191,4,4,0.00,134.55,0.00,SJC,443
104.17.182.107,4,4,0.00,134.59,0.00,SJC,443
104.16.32.50,4,4,0.00,134.64,0.00,SJC,443
172.64.230.245,4,4,0.00,134.77,0.00,SJC,443
104.17.137.110,4,4,0.00,134.88,0.00,SJC,443
104.17.233.228,4,4,0.00,134.90,0.00,SJC,443
198.41.216.253,4,4,0.00,135.31,0.00,SJC,443
104.16.72.95,4,4,0.00,135.36,0.00,SJC,443
104.17.202.177,4,4,0.00,135.49,0.00,SJC,443
198.41.197.123,4,4,0.00,135.70,0.00,SJC,443
104.17.23.236,4,4,0.00,135.71,0.00,SJC,443
104.19.172.65,4,4,0.00,135.73,0.00,SJC,443
104.19.55.54,4,4,0.00,135.77,0.00,SJC,443
198.41.205.165,4,4,0.00,135.97,0.00,SJC,443
104.19.89.103,4,4,0.00,136.18,0.00,SJC,443
104.17.190.35,4,4,0.00,136.21,0.00,SJC,443
198.41.207.157,4,4,0.00,136.29,0.00,SJC,443
104.17.162.151,4,4,0.00,136.36,0.00,SJC,443
104.17.124.153,4,4,0.00,136.39,0.00,SJC,443
104.18.157.112,4,4,0.00,136.47,0.00,SJC,443
104.16.227.57,4,4,0.00,136.50,0.00,SJC,443
104.17.128.145,4,4,0.00,136.52,0.00,SJC,443
104.19.68.213,4,4,0.00,136.64,0.00,SJC,443
104.18.165.2,4,4,0.00,136.64,0.00,SJC,443
104.19.52.229,4,4,0.00,136.77,0.00,SJC,443
104.19.69.188,4,4,0.00,136.82,0.00,SJC,443
104.17.13.36,4,4,0.00,136.82,0.00,SJC,443
104.19.106.95,4,4,0.00,136.83,0.00,SJC,443
104.18.254.154,4,4,0.00,136.95,0.00,SJC,443
104.16.36.79,4,4,0.00,136.99,0.00,SJC,443
104.17.85.175,4,4,0.00,137.10,0.00,SJC,443
104.16.190.2,4,4,0.00,137.13,0.00,SJC,443
104.19.232.142,4,4,0.00,137.14,0.00,SJC,443
104.16.9.72,4,4,0.00,137.17,0.00,SJC,443
104.19.115.94,4,4,0.00,137.18,0.00,SJC,443
190.93.245.185,4,4,0.00,137.19,0.00,SJC,443
141.101.121.155,4,4,0.00,137.21,0.00,SJC,443
104.18.235.168,4,4,0.00,137.21,0.00,SJC,443
104.16.53.190,4,4,0.00,137.23,0.00,SJC,443
104.16.157.68,4,4,0.00,137.24,0.00,SJC,443
198.41.203.81,4,4,0.00,137.25,0.00,SJC,443
104.19.103.4,4,4,0.00,137.26,0.00,SJC,443
190.93.244.31,4,4,0.00,137.26,0.00,SJC,443
104.17.119.116,4,4,0.00,137.33,0.00,SJC,443
104.16.222.57,4,4,0.00,137.33,0.00,SJC,443
104.17.183.136,4,4,0.00,137.35,0.00,SJC,443
104.16.8.47,4,4,0.00,137.37,0.00,SJC,443
104.19.234.193,4,4,0.00,137.44,0.00,SJC,443
104.19.60.109,4,4,0.00,137.45,0.00,SJC,443
104.17.171.202,4,4,0.00,137.48,0.00,SJC,443
104.16.71.78,4,4,0.00,137.53,0.00,SJC,443
104.16.25.246,4,4,0.00,137.55,0.00,SJC,443
198.41.209.83,4,4,0.00,137.55,0.00,SJC,443
104.17.123.141,4,4,0.00,137.57,0.00,SJC,443
104.16.220.29,4,4,0.00,137.57,0.00,SJC,443
104.16.207.217,4,4,0.00,137.58,0.00,SJC,443
104.18.137.9,4,4,0.00,137.59,0.00,SJC,443
104.19.94.186,4,4,0.00,137.59,0.00,SJC,443
104.16.171.106,4,4,0.00,137.60,0.00,SJC,443
104.17.142.92,4,4,0.00,137.61,0.00,SJC,443
104.16.5.45,4,4,0.00,137.72,0.00,SJC,443
104.17.78.163,4,4,0.00,137.73,0.00,SJC,443
104.16.90.182,4,4,0.00,137.76,0.00,SJC,443
104.16.246.251,4,4,0.00,137.81,0.00,SJC,443
104.19.120.53,4,4,0.00,137.84,0.00,SJC,443
104.17.56.67,4,4,0.00,137.87,0.00,SJC,443
104.18.184.18,4,4,0.00,137.87,0.00,SJC,443
104.18.143.3,4,4,0.00,137.88,0.00,SJC,443
104.19.27.108,4,4,0.00,137.91,0.00,SJC,443
104.16.21.13,4,4,0.00,137.92,0.00,SJC,443
104.16.96.55,4,4,0.00,137.92,0.00,SJC,443
104.18.151.164,4,4,0.00,137.92,0.00,SJC,443
