IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
162.159.43.141,4,4,0.00,70.54,45.20,SIN,443
104.18.33.63,4,4,0.00,71.72,44.98,SIN,443
172.64.53.165,4,4,0.00,71.43,44.81,SIN,443
162.159.24.138,4,4,0.00,72.05,44.33,SIN,443
104.18.39.58,4,4,0.00,71.04,43.99,SIN,443
